label,source,target,slng,slat,tlng,tlat
0,1383,1444,113.898,22.556,113.906,22.552
1,1444,1287,113.906,22.552,114.09,22.564
0,1287,1165,114.09,22.564,114.074,22.572
1,1165,1639,114.074,22.572,114.026,22.54
0,1639,1642,114.026,22.54,114.05,22.54
1,1642,1591,114.05,22.54,114.122,22.544
0,1591,1641,114.122,22.544,114.042,22.54
1,1641,6,114.042,22.54,113.922,22.648
0,6,6,113.922,22.648,113.922,22.648
1,6,1759,113.922,22.648,114.026,22.532
0,1759,1638,114.026,22.532,114.018,22.54
1,1638,1578,114.018,22.54,114.018,22.544
0,1578,1520,114.018,22.544,114.034,22.548
1,1520,1943,114.034,22.548,114.058,22.52
0,1943,1764,114.058,22.52,114.066,22.532
1,1764,1764,114.066,22.532,114.066,22.532
0,1764,1884,114.066,22.532,114.066,22.524
1,1884,1626,114.066,22.524,113.922,22.54
0,1626,1868,113.922,22.54,113.938,22.524
1,1868,1570,113.938,22.524,113.954,22.544
0,1570,1817,113.954,22.544,114.01,22.528
1,1817,1820,114.01,22.528,114.034,22.528
0,1820,1765,114.034,22.528,114.074,22.532
1,1765,1409,114.074,22.532,114.106,22.556
0,1409,1462,114.106,22.556,114.05,22.552
1,1462,1987,114.05,22.552,113.93,22.516
0,1987,1866,113.93,22.516,113.922,22.524
1,1866,1388,113.922,22.524,113.938,22.556
0,1388,1745,113.938,22.556,113.914,22.532
1,1745,1569,113.914,22.532,113.946,22.544
0,1569,1571,113.946,22.544,113.962,22.544
1,1571,2225,113.962,22.544,113.914,22.5
0,2225,2046,113.914,22.5,113.922,22.512
1,2046,1506,113.922,22.512,113.922,22.548
0,1506,1569,113.922,22.548,113.946,22.544
1,1569,1631,113.946,22.544,113.962,22.54
0,1631,1819,113.962,22.54,114.026,22.528
1,1819,1941,114.026,22.528,114.042,22.52
0,1941,1764,114.042,22.52,114.066,22.532
1,1764,1591,114.066,22.532,114.122,22.544
